scope,input_family,tuple_group,knot_a,knot_b,split_a,split_b,same_four_view_inputs,W_F_a,W_F_b,width_diff,F_direct_diff,F_diff_mod_reflection,F_reflection_only,stored_torsion_direct_diff,torsion_available
atlas,HOMFLY_PT_plus_Theta,106253,14n00036,14n11437,train,train,True,3,2,True,True,True,False,True,True
atlas,four_view_noKh,215021,14n00036,14n11437,train,train,True,3,2,True,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,60065,14n08809,15n113508,test,train,True,2,3,True,True,True,False,True,True
atlas,four_view_noKh,82021,14n08809,15n113508,test,train,True,2,3,True,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,157368,14n22185,14n22589,val,val,True,4,4,False,True,True,False,True,True
atlas,four_view_noKh,212803,14n22185,14n22589,val,val,True,4,4,False,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,97324,15n051748,15n115375,test,train,True,4,4,False,True,True,False,True,True
atlas,four_view_noKh,212857,15n051748,15n115375,test,train,True,4,4,False,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,189045,15n057176,15n088689,train,train,True,3,3,False,True,True,False,True,True
atlas,four_view_noKh,267549,15n057176,15n088689,train,train,True,3,3,False,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,275709,15n057436,15n057606,test,train,True,4,4,False,True,True,False,True,True
atlas,four_view_noKh,30621,15n057436,15n057606,test,train,True,4,4,False,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,220593,15n058546,15n136427,train,val,True,3,3,False,True,True,False,True,True
atlas,four_view_noKh,241155,15n058546,15n136427,train,val,True,3,3,False,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,220593,15n058546,15n143074,train,train,True,3,3,False,True,True,False,True,True
atlas,four_view_noKh,241155,15n058546,15n143074,train,train,True,3,3,False,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,189045,15n083079,15n088689,train,train,True,3,3,False,True,True,False,True,True
atlas,four_view_noKh,267549,15n083079,15n088689,train,train,True,3,3,False,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,220593,15n109531,15n136427,train,val,True,3,3,False,True,True,False,True,True
atlas,four_view_noKh,241155,15n109531,15n136427,train,val,True,3,3,False,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,220593,15n109531,15n143074,train,train,True,3,3,False,True,True,False,True,True
atlas,four_view_noKh,241155,15n109531,15n143074,train,train,True,3,3,False,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,25845,15n133697,15n135711,train,train,True,4,4,False,True,True,False,True,True
atlas,four_view_noKh,125727,15n133697,15n135711,train,train,True,4,4,False,True,True,False,True,True
atlas,HOMFLY_PT_plus_Theta,147346,10_137,14n11995,train,train,True,2,2,False,True,False,True,True,True
atlas,four_view_noKh,99470,10_137,14n11995,train,train,True,2,2,False,True,False,True,True,True
