scope,input_family,tuple_group,knot_a,knot_b,split_a,split_b,same_four_view_inputs,W_F_a,W_F_b,width_diff,F_direct_diff,F_diff_mod_reflection,F_reflection_only,stored_torsion_direct_diff,torsion_available
test,HOMFLY_PT_plus_Theta,309,15a58293,15a58317,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,309,15a58293,15a59121,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,309,15a58317,15a59121,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,2828,15n012782,15n012783,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,3559,15n005510,15n005625,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,4265,15n024139,15n024702,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,5840,15a15244,15a15519,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,6247,15n143171,15n162121,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,14222,15n134415,15n134426,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,15719,15a33441,15a51734,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,17561,15a15574,15a18847,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,20236,15n007462,15n010119,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,24892,15a35546,15a39075,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,25558,12a0341,12a0627,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,25630,14n14688,14n15695,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,26911,14n07586,14n07678,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,27266,14n10002,14n11740,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,28320,15n118606,15n118622,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,30094,15n081070,15n115354,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,36567,15n139491,15n141943,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,38819,15n027736,15n029728,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,38908,14n07576,14n07676,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,40621,15n060513,15n062811,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,41577,15n123194,15n123196,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,42035,13n1693,14n08782,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,42270,14n02926,14n03510,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,43054,15n099361,15n099473,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,44011,15n037024,15n037092,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,44553,15n041330,15n109474,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,45025,15n058537,15n109517,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,47150,14n13439,14n18900,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,48427,15n004801,15n005021,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,48519,15n032755,15n032756,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,49862,15n077963,15n083112,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,51106,15n008509,15n008522,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,51291,15n001215,15n001321,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,51444,15a50336,15a50415,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,52032,15a18468,15a21121,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,52091,13n1654,13n1684,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,52397,15a03832,15a04453,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,56339,15n039485,15n039936,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,57071,15n009398,15n011146,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,58983,15n080199,15n115332,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,59189,15n039209,15n039413,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,62198,15a02612,15a02728,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,67809,15n023682,15n023798,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,68207,15a28432,15a30797,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,70717,15a63324,15a63951,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,71327,15n100523,15n101203,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,80325,14n14119,14n14286,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,83126,15n010909,15n011075,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,85231,15a20893,15a21132,test,test,True,2,2,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,88573,15n008565,15n008607,test,test,True,3,3,False,False,False,False,False,True
test,HOMFLY_PT_plus_Theta,88693,15n097002,15n110241,test,test,True,3,3,False,False,False,False,False,True
